name,born,height,weight,position,games_played,goals,assists,plus_minus,penalty_minutes,salary
Milan Michalek,1984,74,225,LW,5,1,1,-2,2,$4'000'000.00
Zbynek Michalek,1982,74,210,D,3,0,0,1,0,$3'200'000.00
Sonny Milano,1996,74,197,LW,4,0,0,-3,0,$925'000.00
Colin Miller,1992,73,196,D,61,6,7,0,55,$900'000.00
Drew Miller,1984,74,183,LW,55,5,2,-12,18,$1'025'000.00
J.T. Miller,1993,73,206,LW,82,22,34,17,21,$2'750'000.00
Kevan Miller,1987,74,210,D,58,3,10,1,50,$2'500'000.00
Garrett Mitchell,1991,71,198,RW,1,0,0,0,0,$600'000.00
John Mitchell,1985,73,204,C,65,3,4,-12,45,$1'900'000.00
Torrey Mitchell,1985,71,190,C,78,8,9,5,38,$1'300'000.00
Zack Mitchell,1993,73,184,RW,11,0,0,-1,0,$640'000.00
Griffen Molino,1994,71,171,C,5,0,0,-2,0,$925'000.00
Sean Monahan,1994,75,195,C,82,27,31,-1,20,$6'500'000.00
Brandon Montour,1994,72,192,D,27,2,4,11,14,$925'000.00
Dominic Moore,1980,72,192,C,82,11,14,2,44,$900'000.00
John Moore,1990,75,210,D,63,12,10,-7,39,$1'750'000.00
Samuel Morin,1995,78,202,D,1,0,0,0,0,$832'500.00
Josh Morrissey,1995,72,195,D,82,6,14,6,38,$832'500.00
Joe Morrow,1992,72,199,D,17,0,1,-4,8,$800'000.00
Tyler Motte,1995,69,188,LW,33,4,3,2,14,$925'000.00
Matt Moulson,1983,73,200,LW,81,14,18,-4,10,$5'000'000.00
Mirco Mueller,1995,75,210,D,4,1,1,2,0,$832'500.00
Connor Murphy,1993,76,212,D,77,2,15,-13,45,$2'400'000.00
Ryan Murphy,1993,71,185,D,27,0,2,-11,8,$750'000.00
Ryan Murray,1993,73,211,D,60,2,9,3,24,$2'825'000.00
Jake Muzzin,1989,75,216,D,82,9,19,-21,46,$4'000'000.00
Tyler Myers,1990,80,229,D,11,2,3,5,13,$4'000'000.00
Jakub Nakladal,1987,74,212,D,3,0,0,-4,0,
Vladislav Namestnikov,1992,71,180,C,74,10,18,-4,31,$1'900'000.00
Rick Nash,1984,76,212,RW,67,23,15,9,26,$8'000'000.00
Riley Nash,1989,73,200,C,81,7,10,-1,14,$900'000.00
James Neal,1987,74,221,RW,70,23,18,-10,35,$5'000'000.00
Chris Neil,1979,73,209,RW,53,1,3,-11,63,$1'500'000.00
Brock Nelson,1991,75,206,C,81,20,25,-6,36,$2'500'000.00
Casey Nelson,1992,73,190,D,11,0,0,-3,4,$650'000.00
Patrik Nemeth,1992,75,215,D,40,0,3,-4,14,$900'000.00
Aaron Ness,1990,70,184,D,2,0,0,-1,0,$575'000.00
Nikita Nesterov,1993,71,191,D,48,4,13,0,24,$725'000.00
Andrej Nestrasil,1991,75,200,C,19,1,4,-3,2,$950'000.00
Nino Niederreiter,1992,74,211,RW,82,25,32,17,53,$3'500'000.00
Frans Nielsen,1984,73,188,C,79,17,24,-19,18,$6'000'000.00
Matt Nieto,1992,71,190,LW,59,7,6,-12,8,$735'000.00
Cristoval Nieves,1994,75,219,C,1,0,0,-1,0,$742'500.00
Matt Niskanen,1986,73,200,D,78,5,34,20,32,$5'750'000.00
Stefan Noesen,1993,73,205,RW,44,8,2,6,24,$600'000.00
Nelson Nogier,1996,74,191,D,10,0,0,-1,5,$650'000.00
Jordan Nolan,1989,75,219,C,46,4,4,-3,44,$1'000'000.00
Joakim Nordstrom,1992,73,189,LW,82,7,5,-12,17,$1'250'000.00
Tomas Nosek,1992,75,210,LW,11,1,0,-1,2,$575'000.00
Ryan Nugent-Hopkins,1993,72,196,C,82,18,25,-10,29,$6'000'000.00
Darnell Nurse,1995,76,220,D,44,5,6,0,33,$832'500.00
Markus Nutivaara,1994,73,186,D,66,2,5,7,6,$792'500.00
Alex Nylander,1998,73,180,RW,4,0,1,-2,0,$925'000.00
William Nylander,1996,72,190,C,81,22,39,-3,32,$925'000.00
Gustav Nyquist,1989,71,184,RW,76,12,36,0,18,$4'250'000.00
Liam O'Brien,1994,73,215,C,1,0,0,0,0,$630'000.00
Rob O'Gara,1993,76,207,D,3,0,0,1,0,$925'000.00
Daniel O'Regan,1994,69,180,C,3,1,0,-2,0,$792'500.00
Cal O'Reilly,1986,72,193,C,11,0,1,-6,0,$700'000.00
Ryan O'Reilly,1991,73,210,C,72,20,35,-1,10,$11'000'000.00
Johnny Oduya,1981,72,195,D,52,2,7,-4,18,$3'750'000.00
Jordan Oesterle,1992,72,182,D,2,0,0,-1,0,$585'000.00
Kyle Okposo,1988,72,218,RW,65,19,26,-7,24,$8'000'000.00
Jamie Oleksiak,1992,79,255,D,41,5,2,-4,37,$918'750.00
Steve Oleksy,1986,72,190,D,11,0,1,2,24,$575'000.00
Gustav Olofsson,1994,75,195,D,13,0,3,-1,2,$925'000.00
Dmitry Orlov,1991,71,212,D,82,6,27,30,51,$2'570'000.00
Brooks Orpik,1980,75,219,D,79,0,14,32,48,$5'500'000.00
T.J. Oshie,1986,72,189,RW,68,33,23,28,36,$4'500'000.00
Steve Ott,1982,72,193,C,53,3,4,-8,80,$800'000.00
Xavier Ouellet,1993,73,208,D,66,3,9,2,51,$715'000.00
Alex Ovechkin,1985,75,239,LW,82,33,36,6,50,$10'000'000.00
Magnus Paajarvi,1991,75,203,LW,32,8,5,9,6,$700'000.00
Max Pacioretty,1988,74,215,LW,81,35,32,15,38,$5'000'000.00
Jean-Gabriel Pageau,1992,70,180,C,82,12,21,13,24,$1'100'000.00
Iiro Pakarinen,1991,73,209,RW,14,2,2,2,2,$725'000.00
Ondrej Palat,1991,72,188,LW,75,17,35,8,39,$4'000'000.00
Kyle Palmieri,1991,70,185,RW,80,26,27,2,46,$4'500'000.00
Artemi Panarin,1991,71,170,LW,82,31,43,18,21,$925'000.00
Richard Panik,1991,73,208,RW,82,22,22,14,58,$875'000.00
Cedric Paquette,1993,73,198,C,58,4,6,-6,80,$800'000.00
Colton Parayko,1993,78,226,D,81,4,31,7,32,$925'000.00
Adam Pardy,1984,76,227,D,4,0,0,-1,6,$575'000.00
PA Parenteau,1983,72,200,RW,67,13,15,-18,35,$1'250'000.00
Zach Parise,1984,71,196,LW,69,19,23,-3,30,$9'000'000.00
David Pastrnak,1996,72,181,RW,75,34,36,11,34,$925'000.00
Greg Pateryn,1990,75,221,D,36,1,8,-1,10,$750'000.00
Nick Paul,1995,76,230,LW,1,0,0,-2,0,$692'500.00
Joe Pavelski,1984,71,190,C,81,29,39,11,34,$6'000'000.00
Tanner Pearson,1992,73,204,LW,80,24,20,5,13,$1'550'000.00
Matthew Peca,1993,68,178,C,10,1,1,-3,2,$925'000.00
Adam Pelech,1994,75,210,D,44,3,7,-5,6,$925'000.00
Brendan Perlini,1996,75,211,LW,57,14,7,-4,20,$925'000.00
Mathieu Perreault,1988,70,188,C,65,13,32,-11,30,$3'000'000.00
David Perron,1988,72,200,LW,82,18,28,-2,54,$3'750'000.00
Corey Perry,1985,75,210,RW,82,19,34,2,76,$10'000'000.00
Brett Pesce,1994,75,200,D,82,2,18,23,20,$792'500.00
Nic Petan,1995,69,179,LW,54,1,12,-13,12,$750'000.00
Alex Petrovic,1992,76,206,D,49,1,13,-1,79,$1'200'000.00
Jeff Petry,1987,75,204,D,80,8,20,3,22,$7'000'000.00
Dion Phaneuf,1985,75,219,D,81,9,21,-6,100,$7'500'000.00
Blake Pietila,1993,71,200,LW,10,0,1,-5,4,$675'000.00
Alex Pietrangelo,1990,75,205,D,80,14,34,3,24,$7'000'000.00
Brandon Pirri,1991,72,186,RW,60,8,10,-8,25,$1'100'000.00
Tyler Pitlick,1991,74,202,RW,31,8,3,0,6,$725'000.00
Tomas Plekanec,1982,71,196,C,78,10,18,10,24,$7'000'000.00
Brayden Point,1996,70,166,C,68,18,22,4,14,$667'500.00
Roman Polak,1986,74,235,D,75,4,7,10,65,$2'250'000.00
Jason Pominville,1982,72,181,RW,78,13,34,2,4,$6'250'000.00
Kevin Porter,1986,71,191,C,2,0,0,-1,0,$575'000.00
Paul Postma,1989,75,195,D,65,1,13,3,15,$925'000.00
Andrew Poturalski,1994,70,180,C,2,0,0,-3,0,$792'500.00
Benoit Pouliot,1986,75,204,LW,67,8,6,-5,34,$4'000'000.00
Derrick Pouliot,1994,72,208,D,11,0,0,-4,4,$832'500.00
Shane Prince,1992,71,185,LW,50,5,13,-9,18,$800'000.00
Nate Prosser,1986,74,201,D,39,2,5,0,12,$650'000.00
Dalton Prout,1990,75,229,D,29,0,6,-1,44,$1'250'000.00
Ivan Provorov,1997,73,201,D,82,6,24,-7,34,$925'000.00
Matt Puempel,1993,73,205,LW,40,6,3,-11,11,$900'000.00
Jesse Puljujarvi,1998,76,203,RW,28,1,7,5,10,$925'000.00
Teemu Pulkkinen,1992,70,185,LW,13,2,0,-2,6,$812'500.00
Ryan Pulock,1994,74,215,D,1,0,0,1,0,$832'500.00
Teddy Purcell,1985,74,195,LW,12,0,2,0,0,$1'600'000.00
Tom Pyatt,1987,71,185,LW,82,9,14,9,16,$800'000.00
Mark Pysyk,1992,73,200,D,82,4,13,0,10,$1'250'000.00
John Quenneville,1996,73,195,C,12,1,3,1,2,$842'500.00
Kyle Quincey,1985,74,216,D,73,6,9,4,51,$1'250'000.00
Alan Quine,1993,72,200,C,61,5,13,-2,8,$575'000.00
Alex Radulov,1986,74,205,RW,76,18,36,10,62,$5'750'000.00
Michael Raffl,1988,72,200,LW,52,8,3,-7,20,$2'350'000.00
Rickard Rakell,1993,74,201,C,71,33,18,10,12,$3'800'000.00
Mikko Rantanen,1996,76,211,RW,75,20,18,-25,22,$925'000.00
Victor Rask,1993,74,200,C,82,16,29,-10,16,$4'000'000.00
Dennis Rasmussen,1990,75,205,C,68,4,4,-4,12,$575'000.00
Ty Rattie,1993,72,195,RW,9,0,2,-2,0,$650'000.00
Kyle Rau,1992,68,178,C,24,2,1,-3,4,$925'000.00
Mason Raymond,1985,73,179,LW,4,0,0,-2,0,
Matt Read,1986,70,185,RW,63,10,9,3,8,$4'000'000.00
Ryan Reaves,1987,73,225,RW,80,7,6,4,104,$1'125'000.00
Zach Redmond,1988,74,208,D,16,0,5,6,2,$575'000.00
Mike Reilly,1993,74,193,D,17,1,0,1,2,$925'000.00
Sam Reinhart,1995,73,193,C,79,17,30,-11,8,$925'000.00
Borna Rendulic,1992,74,200,RW,1,0,0,0,0,$575'000.00
Dan Renouf,1994,74,205,D,1,0,0,0,0,$692'500.00
Mike Ribeiro,1980,72,179,C,46,4,21,-5,14,$3'500'000.00
Tanner Richard,1993,72,192,C,3,0,0,-2,2,$575'000.00
Brad Richardson,1985,72,197,RW,16,5,4,-1,15,$2'250'000.00
Tobias Rieder,1993,71,185,RW,80,16,18,-8,6,$2'000'000.00
Morgan Rielly,1994,73,215,D,76,6,21,-20,21,$5'000'000.00
Rasmus Ristolainen,1994,76,203,D,79,6,39,-9,58,$5'400'000.00
Brett Ritchie,1993,75,215,RW,78,16,8,11,38,$875'000.00
