name,born,height,weight,position,games_played,goals,assists,plus_minus,penalty_minutes,salary
Vladimir Tarasenko,1991,72,219,RW,82,39,36,-1,12,$8'000'000.00
Tomas Tatar,1990,70,185,LW,82,25,21,-8,26,$2'750'000.00
John Tavares,1990,73,211,C,77,28,38,4,38,$6'000'000.00
Matt Tennyson,1990,74,205,D,45,0,6,-13,6,$675'000.00
Teuvo Teravainen,1994,71,178,LW,81,15,27,-6,16,$832'500.00
Chris Terry,1989,70,195,LW,14,2,2,-1,4,$600'000.00
Shea Theodore,1995,74,195,D,34,2,7,-6,28,$832'500.00
Nate Thompson,1984,72,212,C,30,1,1,4,14,$1'700'000.00
Paul Thompson,1988,73,200,RW,21,0,3,-4,22,$575'000.00
Ben Thomson,1993,75,205,LW,3,0,0,-4,4,$635'000.00
Chris Thorburn,1983,75,235,RW,64,3,1,-7,95,$1'200'000.00
Joe Thornton,1979,76,220,C,79,7,43,7,51,$6'750'000.00
Shawn Thornton,1977,74,217,LW,50,2,2,-7,67,
Chris Tierney,1994,73,195,C,80,11,12,0,6,$700'000.00
Matthew Tkachuk,1997,74,202,LW,76,13,35,14,105,$925'000.00
Jonathan Toews,1988,74,201,C,72,21,37,7,35,$13'800'000.00
Tyler Toffoli,1992,72,201,C,63,16,18,6,22,$3'900'000.00
Sergey Tolchinsky,1995,68,170,LW,2,0,1,0,0,$575'000.00
Jordin Tootoo,1983,69,195,RW,50,2,1,-6,28,$750'000.00
Vincent Trocheck,1993,70,182,C,82,23,31,-13,43,$3'750'000.00
Corey Tropp,1989,72,185,RW,1,0,0,-1,0,$600'000.00
Jacob Trouba,1994,75,202,D,60,8,25,4,54,$2'500'000.00
Nikita Tryamkin,1994,79,265,D,66,2,7,-7,64,$925'000.00
Alex Tuch,1996,76,222,RW,6,0,0,-3,0,$925'000.00
Kyle Turris,1989,73,190,C,78,27,28,-3,47,$4'000'000.00
T.J. Tynan,1992,68,165,C,3,0,0,-1,0,$600'000.00
Fedor Tyutin,1983,74,221,D,69,1,12,-25,38,$2'000'000.00
Scottie Upshall,1983,72,200,RW,73,10,8,-1,45,$900'000.00
James van Riemsdyk,1989,75,210,LW,82,29,33,-2,37,$5'000'000.00
Trevor van Riemsdyk,1991,74,188,D,58,5,11,17,29,$750'000.00
Chris VandeVelde,1987,74,190,C,81,6,9,-5,16,$725'000.00
Thomas Vanek,1984,74,214,LW,68,17,31,-5,22,$2'600'000.00
Phil Varone,1990,70,193,C,7,0,0,-3,2,$700'000.00
Sami Vatanen,1991,70,183,D,71,3,21,3,30,$5'000'000.00
Frank Vatrano,1994,69,201,C,44,10,8,-3,14,$792'500.00
Mike Vecchione,1993,70,194,C,2,0,0,-1,0,$925'000.00
Antoine Vermette,1982,73,198,C,72,9,19,-7,42,$1'750'000.00
Joel Vermin,1992,71,192,RW,18,0,3,2,4,$575'000.00
Kris Versteeg,1986,71,176,RW,69,15,22,-3,46,$950'000.00
Jimmy Vesey,1993,75,207,LW,80,16,11,-13,26,$925'000.00
Linden Vey,1991,72,189,RW,4,0,0,-2,0,$700'000.00
Jake Virtanen,1996,73,229,RW,10,0,1,1,2,$925'000.00
Marc-Edouard Vlasic,1987,73,205,D,75,6,22,4,35,$4'250'000.00
Jakub Voracek,1989,74,214,RW,82,20,41,-24,56,$10'000'000.00
Jakub Vrana,1996,72,195,LW,21,3,3,2,2,$925'000.00
Radim Vrbata,1981,73,194,RW,81,20,35,-18,16,$1'000'000.00
Chris Wagner,1991,72,195,C,43,6,1,2,6,$625'000.00
Lucas Wallmark,1995,72,176,C,8,0,2,1,2,$675'000.00
Joel Ward,1980,73,225,RW,78,10,19,-2,30,$3'275'000.00
David Warsofsky,1990,69,170,D,7,0,1,-3,6,$575'000.00
Austin Watson,1992,76,204,LW,77,5,12,14,99,$575'000.00
Jordan Weal,1992,70,179,C,23,8,4,5,10,$650'000.00
Shea Weber,1985,76,232,D,78,17,25,20,38,$12'000'000.00
Yannick Weber,1988,71,200,D,73,1,7,1,25,$575'000.00
Mackenzie Weegar,1994,72,212,D,3,0,0,0,4,$705'000.00
Dale Weise,1988,74,206,RW,64,8,7,1,39,$2'750'000.00
Alex Wennberg,1994,74,196,C,80,13,46,9,21,$925'000.00
Zach Werenski,1997,74,218,D,78,11,36,17,14,$925'000.00
Blake Wheeler,1986,77,225,RW,82,26,48,6,47,$5'800'000.00
Colin White,1997,72,183,C,2,0,0,0,0,$925'000.00
Ryan White,1988,72,200,C,65,9,7,-16,84,$1'000'000.00
Chris Wideman,1990,70,180,D,76,5,12,7,46,$800'000.00
Dennis Wideman,1983,72,202,D,57,5,13,-6,32,$6'000'000.00
Patrick Wiercioch,1990,77,202,D,57,4,8,-18,23,$800'000.00
Justin Williams,1981,73,188,RW,80,24,24,14,50,$3'250'000.00
Colin Wilson,1989,73,221,LW,70,12,23,7,18,$4'000'000.00
Scott Wilson,1992,71,183,LW,78,8,18,0,32,$590'000.00
Tom Wilson,1994,76,217,RW,82,7,12,9,133,$1'750'000.00
Tommy Wingels,1988,72,200,C,73,7,5,-11,27,$2'600'000.00
Daniel Winnik,1985,74,206,LW,72,12,13,15,49,$1'800'000.00
Luke Witkowski,1990,74,217,D,34,0,4,-1,39,$575'000.00
Miles Wood,1995,74,195,LW,60,8,9,-21,86,$925'000.00
Tyler Wotherspoon,1993,74,207,D,4,0,0,-2,0,$625'000.00
Nail Yakupov,1993,71,195,RW,40,3,6,-3,14,$2'500'000.00
Keith Yandle,1986,73,196,D,82,5,36,-6,39,$7'500'000.00
Pavel Zacha,1997,75,210,C,70,8,16,-17,19,$925'000.00
Nikita Zadorov,1995,77,230,D,56,0,10,-20,73,$832'500.00
Nikita Zaitsev,1991,74,195,D,82,4,32,-22,38,$925'000.00
Travis Zajac,1985,74,185,C,80,14,31,-8,33,$6'500'000.00
Michael Zalewski,1992,74,205,LW,1,0,0,-1,0,$632'500.00
Henrik Zetterberg,1980,72,197,LW,82,17,51,15,22,$7'500'000.00
Mika Zibanejad,1993,74,215,C,56,14,23,9,16,$3'250'000.00
Harry Zolnierczyk,1987,71,180,LW,24,2,2,-2,10,$575'000.00
Mats Zuccarello,1987,67,179,RW,80,15,44,15,26,$4'500'000.00
Jason Zucker,1992,71,187,LW,79,22,25,34,30,$2'000'000.00
Valentin Zykov,1995,73,224,LW,2,1,0,1,0,$727'500.00
